transaction-type,transaction-date,default-currency,transaction-value,transaction_ref,transaction_value_currency,transaction_value_value-date,transaction_provider-org,transaction_provider-org_ref,transaction_provider-org_provider-activity-id,transaction_receiver-org,transaction_receiver-org_ref,transaction_receiver-org_receiver-activity-id,transaction_description,transaction_flow-type_code,transaction_finance-type_code,transaction_aid-type_code,transaction_tied-status_code,transaction_disbursement-channel_code,transaction_recipient-country-code,transaction_recipient-country,transaction_recipient-region-code,transaction_recipient-region,transaction_sector-code,transaction_sector,transaction_sector-vocabulary,transaction_sector-vocabulary-code,iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,reporting-org-type-code,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org-type-code (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org-type-code (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org-type-code (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),participating-org-type-code (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,sector-vocabulary-code,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code
4,2018-10-01,GBP,475,,GBP,2018-10-01,UK - Department for International Development (DFID),GB-GOV-1,,,,,Aggregated spend of less than £500 - Financial Year 2018 Quarter 3,,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
4,2018-11-29,GBP,1637,8198797,GBP,2018-11-29,UK - Department for International Development (DFID),GB-GOV-1,,Sheraton Hotel,,,Staff Business Travel and Subsistence,,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
4,2019-01-01,GBP,224,,GBP,2019-01-01,UK - Department for International Development (DFID),GB-GOV-1,,,,,Aggregated spend of less than £500 - Financial Year 2018 Quarter 4,,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
4,2019-01-17,GBP,4657,8272706,GBP,2019-01-17,UK - Department for International Development (DFID),GB-GOV-1,,SPEKE HOTEL 1996 LTD. T/A SPEKE APARTMENTS,,,Staff Business Travel and Subsistence,,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
4,2019-03-07,GBP,2277,8347592,GBP,2019-03-07,UK - Department for International Development (DFID),GB-GOV-1,,SPEKE HOTEL 1996 LTD. T/A SPEKE APARTMENTS,,,Staff Business Travel and Subsistence,,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
4,2019-04-01,GBP,267,,GBP,2019-04-01,UK - Department for International Development (DFID),GB-GOV-1,,,,,Aggregated spend of less than £500 - Financial Year 2019 Quarter 1,,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
4,2019-07-01,GBP,192,,GBP,2019-07-01,UK - Department for International Development (DFID),GB-GOV-1,,,,,Aggregated spend of less than £500 - Financial Year 2019 Quarter 2,,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
4,2019-07-08,GBP,8380,8529512,GBP,2019-07-08,UK - Department for International Development (DFID),GB-GOV-1,,SPEKE HOTEL 1996 LTD. T/A SPEKE APARTMENTS,,,Staff Business Travel and Subsistence,,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
2,2015-10-19,GBP,588119,REFCO1,GBP,2015-10-19,UK - Department for International Development (DFID),GB-GOV-1,GB-1-204861-101,International Procurement Agency,NL-KVK-32037590,,"This is an outgoing commitment to International Procurement Agency of £588,119.06",,,,,,,,,,,,,,GB-1-204861-101,2,2019-12-18 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Procurement of Goods for the implementation of Expanding Social Protection in Uganda- Phase Two,"This activity (Procurement of Goods for the implementation of Expanding Social Protection in Uganda- Phase Two) is a component of Expanding Social Protection in Uganda - Phase Two reported by DFID, with a funding type of 'Procurement of goods' and a budget of £1,940,095. This component benefits Uganda, and works in the following sector(s): Social Protection. , with the following implementing partners: International Procurement Agency. The start date is 01-07-2015 and the end date is 30-06-2022.",2,2015-07-01,2022-06-30,2015-07-01,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,International Procurement Agency,NL-KVK-32037590,Private Sector,70,UG,Uganda,,,,,16010,Social/ welfare services,,OECD Development Assistance Committee,DAC,1,110,10,C01,5
2,2017-05-23,GBP,5268,REFCO2,GBP,2017-05-23,UK - Department for International Development (DFID),GB-GOV-1,GB-1-204861-101,International Procurement Agency,NL-KVK-32037590,,"This is an outgoing commitment to International Procurement Agency of £5,268.73",,,,,,,,,,,,,,GB-1-204861-101,2,2019-12-18 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Procurement of Goods for the implementation of Expanding Social Protection in Uganda- Phase Two,"This activity (Procurement of Goods for the implementation of Expanding Social Protection in Uganda- Phase Two) is a component of Expanding Social Protection in Uganda - Phase Two reported by DFID, with a funding type of 'Procurement of goods' and a budget of £1,940,095. This component benefits Uganda, and works in the following sector(s): Social Protection. , with the following implementing partners: International Procurement Agency. The start date is 01-07-2015 and the end date is 30-06-2022.",2,2015-07-01,2022-06-30,2015-07-01,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,International Procurement Agency,NL-KVK-32037590,Private Sector,70,UG,Uganda,,,,,16010,Social/ welfare services,,OECD Development Assistance Committee,DAC,1,110,10,C01,5
3,2016-05-04,GBP,12219,6845151,GBP,2016-05-04,UK - Department for International Development (DFID),GB-GOV-1,,International Procurement Agency,NL-KVK-32037590,,DFID Purchased Relief Supplies,,,,,,,,,,,,,,GB-1-204861-101,2,2019-12-18 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Procurement of Goods for the implementation of Expanding Social Protection in Uganda- Phase Two,"This activity (Procurement of Goods for the implementation of Expanding Social Protection in Uganda- Phase Two) is a component of Expanding Social Protection in Uganda - Phase Two reported by DFID, with a funding type of 'Procurement of goods' and a budget of £1,940,095. This component benefits Uganda, and works in the following sector(s): Social Protection. , with the following implementing partners: International Procurement Agency. The start date is 01-07-2015 and the end date is 30-06-2022.",2,2015-07-01,2022-06-30,2015-07-01,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,International Procurement Agency,NL-KVK-32037590,Private Sector,70,UG,Uganda,,,,,16010,Social/ welfare services,,OECD Development Assistance Committee,DAC,1,110,10,C01,5
3,2016-05-16,GBP,148476,6860575,GBP,2016-05-16,UK - Department for International Development (DFID),GB-GOV-1,,International Procurement Agency,NL-KVK-32037590,,DFID Purchased Relief Supplies,,,,,,,,,,,,,,GB-1-204861-101,2,2019-12-18 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Procurement of Goods for the implementation of Expanding Social Protection in Uganda- Phase Two,"This activity (Procurement of Goods for the implementation of Expanding Social Protection in Uganda- Phase Two) is a component of Expanding Social Protection in Uganda - Phase Two reported by DFID, with a funding type of 'Procurement of goods' and a budget of £1,940,095. This component benefits Uganda, and works in the following sector(s): Social Protection. , with the following implementing partners: International Procurement Agency. The start date is 01-07-2015 and the end date is 30-06-2022.",2,2015-07-01,2022-06-30,2015-07-01,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,International Procurement Agency,NL-KVK-32037590,Private Sector,70,UG,Uganda,,,,,16010,Social/ welfare services,,OECD Development Assistance Committee,DAC,1,110,10,C01,5
